state,year,inflow,outflow,netflow
AUS,2004,161560,-18940,142620
AUS,2005,187050,-15270,171780
AUS,2006,245890,-13040,232850
AUS,2007,292930,-15490,277440
AUS,2008,302400,-2440,299960
AUS,2009,199890,-3700,196190
AUS,2010,188710,-8260,180450
AUS,2011,240500,-8420,232080
AUS,2012,240640,-10260,230380
AUS,2013,209510,-21750,187760
AUS,2014,210500,-26390,184110
AUS,2015,230720,-24340,206380
AUS,2016,279970,-16510,263460
AUS,2017,254320,-16090,238230
AUS,2018,254790,-13350,241440
AUS,2019,224600,-31890,192710
AUS,2020,23650,-108640,-84990
AUS,2021,222050,-18430,203620
AUS,2022,550680,-32630,518050
NSW,2004,55240,-7740,47500
NSW,2005,60070,-6440,53630
NSW,2006,79660,-6060,73600
NSW,2007,94350,-6940,87410
NSW,2008,89260,-2520,86740
NSW,2009,59410,-2240,57170
NSW,2010,55600,-3820,51780
NSW,2011,61490,-4210,57280
NSW,2012,70940,-4080,66860
NSW,2013,74170,-7150,67020
NSW,2014,78460,-8070,70390
NSW,2015,87850,-7770,80080
NSW,2016,111140,-5510,105630
NSW,2017,97290,-6650,90640
NSW,2018,90480,-5880,84600
NSW,2019,73720,-15800,57920
NSW,2020,22100,-29380,-7280
NSW,2021,76750,-7690,69060
NSW,2022,186360,-12240,174120
VIC,2004,41950,-4210,37740
VIC,2005,48420,-3400,45020
VIC,2006,66170,-3630,62540
VIC,2007,77750,-4160,73590
VIC,2008,83950,-250,83700
VIC,2009,54510,-780,53730
VIC,2010,46720,-2090,44630
VIC,2011,57880,-1660,56220
VIC,2012,61530,-2400,59130
VIC,2013,61870,-4960,56910
VIC,2014,66930,-6260,60670
VIC,2015,77570,-5330,72240
VIC,2016,94650,-3310,91340
VIC,2017,90040,-3050,86990
VIC,2018,88790,-3250,85540
VIC,2019,68590,-7960,60630
VIC,2020,1350,-54350,-53000
VIC,2021,71800,-5720,66080
VIC,2022,162740,-8500,154240
QLD,2004,30230,-3490,26740
QLD,2005,35720,-3020,32700
QLD,2006,47430,-1250,46180
QLD,2007,56380,-2440,53940
QLD,2008,59630,-260,59370
QLD,2009,36010,-90,35920
QLD,2010,35860,-1230,34630
QLD,2011,47850,-1240,46610
QLD,2012,43940,-2080,41860
QLD,2013,31980,-4760,27220
QLD,2014,27120,-6590,20530
QLD,2015,30740,-5750,24990
QLD,2016,37490,-3350,34140
QLD,2017,31970,-4220,27750
QLD,2018,35210,-3480,31730
QLD,2019,33360,-5320,28040
QLD,2020,3840,-16670,-12830
QLD,2021,31970,-2280,29690
QLD,2022,90240,-6240,84000
SA,2004,9600,-990,8610
SA,2005,12480,-600,11880
SA,2006,15060,-400,14660
SA,2007,15920,-640,15280
SA,2008,18120,-60,18060
SA,2009,14640,-60,14580
SA,2010,9620,-430,9190
SA,2011,12790,-460,12330
SA,2012,12220,-500,11720
SA,2013,12410,-740,11670
SA,2014,12470,-1260,11210
SA,2015,12580,-1250,11330
SA,2016,13270,-1030,12240
SA,2017,13460,-730,12730
SA,2018,15600,-420,15180
SA,2019,16340,-1350,14990
SA,2020,1640,-4490,-2850
SA,2021,14830,-500,14330
SA,2022,29320,-1540,27780
WA,2004,20800,-1530,19270
WA,2005,26660,-1120,25540
WA,2006,32560,-1140,31420
WA,2007,42280,-1030,41250
WA,2008,44440,-80,44360
WA,2009,29300,-400,28900
WA,2010,36750,-320,36430
WA,2011,51710,-880,50830
WA,2012,43110,-940,42170
WA,2013,22650,-3900,18750
WA,2014,19830,-5680,14150
WA,2015,19070,-7470,11600
WA,2016,18180,-6070,12110
WA,2017,15600,-3560,12040
WA,2018,19480,-1980,17500
WA,2019,26050,-880,25170
WA,2020,1770,-6850,-5080
WA,2021,17190,-1870,15320
WA,2022,64600,-3070,61530
TAS,2004,1350,-180,1170
TAS,2005,1480,-110,1370
TAS,2006,1630,-230,1400
TAS,2007,1910,-100,1810
TAS,2008,2160,-10,2150
TAS,2009,1680,-40,1640
TAS,2010,1200,-190,1010
TAS,2011,1670,-100,1570
TAS,2012,1730,-140,1590
TAS,2013,1900,-140,1760
TAS,2014,1820,-320,1500
TAS,2015,1900,-140,1760
TAS,2016,2480,-130,2350
TAS,2017,2850,-70,2780
TAS,2018,3250,-80,3170
TAS,2019,4100,-480,3620
TAS,2020,600,-940,-340
TAS,2021,3430,-50,3380
TAS,2022,4400,-450,3950
NT,2004,1330,-350,980
NT,2005,1360,-760,600
NT,2006,1760,-600,1160
NT,2007,1870,-240,1630
NT,2008,2290,-160,2130
NT,2009,1550,-310,1240
NT,2010,1650,-510,1140
NT,2011,3460,-120,3340
NT,2012,4440,-70,4370
NT,2013,2330,-580,1750
NT,2014,2880,-530,2350
NT,2015,2120,-1030,1090
NT,2016,2300,-500,1800
NT,2017,1730,-960,770
NT,2018,1950,-1000,950
NT,2019,1480,-1190,290
NT,2020,250,-690,-440
NT,2021,2950,-590,2360
NT,2022,3980,-670,3310
ACT,2004,1870,-1030,840
ACT,2005,1930,-780,1150
ACT,2006,2470,-530,1940
ACT,2007,3180,-690,2490
ACT,2008,4000,-360,3640
ACT,2009,3480,-350,3130
ACT,2010,2390,-680,1710
ACT,2011,4290,-250,4040
ACT,2012,3450,-530,2920
ACT,2013,3540,-870,2670
ACT,2014,4280,-790,3490
ACT,2015,3940,-630,3310
ACT,2016,4630,-470,4160
ACT,2017,4890,-300,4590
ACT,2018,3210,-410,2800
ACT,2019,4050,-1830,2220
ACT,2020,90,-3250,-3160
ACT,2021,4300,-890,3410
ACT,2022,9640,-890,8750
